,id,date,token_count
0,860094897138872320,2017-05-04 11:32:57+00:00,14
1,863354389980905472,2017-05-13 11:25:01+00:00,23
2,869893162961178624,2017-05-31 12:27:46+00:00,13
3,870715078386921472,2017-06-02 18:53:46+00:00,18
4,871349947370790912,2017-06-04 12:56:31+00:00,12
5,879735562617462784,2017-06-27 16:17:57+00:00,12
6,892277954037809152,2017-08-01 06:56:56+00:00,25
7,895316616690270208,2017-08-09 16:11:30+00:00,14
8,900727764373958656,2017-08-24 14:33:28+00:00,17
9,904426897135861760,2017-09-03 19:32:30+00:00,19
10,908257280264736768,2017-09-14 09:13:04+00:00,12
11,920481928700100608,2017-10-18 02:49:28+00:00,13
12,922332036404334592,2017-10-23 05:21:08+00:00,17
13,925389434475905024,2017-10-31 15:50:08+00:00,14
14,925481892828319744,2017-10-31 21:57:32+00:00,13
15,929020047238029312,2017-11-10 16:16:54+00:00,18
16,930100947602329600,2017-11-13 15:52:01+00:00,24
17,931198656778264576,2017-11-16 16:33:55+00:00,33
18,935586581032964096,2017-11-28 19:09:57+00:00,29
19,935604820936986624,2017-11-28 20:22:26+00:00,37
20,936237654034829312,2017-11-30 14:17:05+00:00,15
21,938430093919170560,2017-12-06 15:29:04+00:00,27
22,940866999193866240,2017-12-13 08:52:27+00:00,26
23,943440800607887360,2017-12-20 11:19:49+00:00,11
24,949217927441633280,2018-01-05 09:56:04+00:00,37
25,949269064022708224,2018-01-05 13:19:16+00:00,17
26,950990877018804224,2018-01-10 07:21:08+00:00,12
27,952216198808309760,2018-01-13 16:30:07+00:00,13
28,954054171224928256,2018-01-18 18:13:34+00:00,19
29,954085143538487296,2018-01-18 20:16:38+00:00,36
30,955357036648202240,2018-01-22 08:30:41+00:00,38
31,960517920706187264,2018-02-05 14:18:12+00:00,32
32,961651934821339136,2018-02-08 17:24:22+00:00,34
33,965568137709187072,2018-02-19 12:45:58+00:00,19
34,966693608270237696,2018-02-22 15:18:11+00:00,19
35,971670514954534912,2018-03-08 08:54:38+00:00,28
36,971787709688832000,2018-03-08 16:40:19+00:00,35
37,976099854127648768,2018-03-20 14:15:14+00:00,35
38,980125166398312448,2018-03-31 16:50:24+00:00,36
39,985783593879396352,2018-04-16 07:34:58+00:00,26
40,988675195241205760,2018-04-24 07:05:09+00:00,33
41,989871785347899392,2018-04-27 14:19:59+00:00,26
42,993485402848800768,2018-05-07 13:39:12+00:00,32
43,994185066921320448,2018-05-09 11:59:25+00:00,35
44,994215020950106112,2018-05-09 13:58:27+00:00,30
45,996077955293081600,2018-05-14 17:21:05+00:00,17
46,997164635382951936,2018-05-17 17:19:10+00:00,23
47,998853788013350912,2018-05-22 09:11:15+00:00,30
48,1003632914263953408,2018-06-04 13:41:48+00:00,18
49,1003934624379297792,2018-06-05 09:40:41+00:00,24
50,1003996605383503872,2018-06-05 13:46:58+00:00,25
51,1004227208041390080,2018-06-06 05:03:18+00:00,39
52,1004419890831339520,2018-06-06 17:48:57+00:00,37
53,1008657219301314560,2018-06-18 10:26:35+00:00,30
54,1009037440701665280,2018-06-19 11:37:27+00:00,30
55,1009465607698501632,2018-06-20 15:58:50+00:00,28
56,1012389559466889216,2018-06-28 17:37:34+00:00,32
57,1012997909741174784,2018-06-30 09:54:56+00:00,43
