,channel_id,date,text,text_tokenised,token_count
113,1326276537,2023-11-15,"Heimische Autoindustrie und freie Mobilität sichern! Die AfD-Fraktion setzt sich für die freie Entscheidung der Bürger bei der Art ihrer Fortbewegung ein. Der AfD-Abgeordnete Steffen Kubitzki erläutert, warum zu einer modernen Mobilität auch der Verbrenner gehört.",Heimische Autoindustrie und freie Mobilität sichern  Die AfDFraktion setzt sich für die freie Entscheidung der Bürger bei der Art ihrer Fortbewegung ein  Der AfDAbgeordnete Steffen Kubitzki erläutert  warum zu einer modernen Mobilität auch der Verbrenner gehört,36
114,1326276537,2023-11-13,"KITAS retten, Qualität der Betreuung verbessern! Die Kindertagesbetreuung in Brandenburg ist in einem katastrophalen Zustand - und der Trend zeigt weiter abwärts. Der bildungspolitische Sprecher der AfD-Fraktion im Landtag-Brandenburg, Dennis Hohloch, benennt schonungslos das ganze Ausmaß der Misere und zeigt Wege aus der Krise auf.",KITAS retten  Qualität der Betreuung verbessern  Die Kindertagesbetreuung in Brandenburg ist in einem katastrophalen Zustand  und der Trend zeigt weiter abwärts  Der bildungspolitische Sprecher der AfDFraktion im LandtagBrandenburg  Dennis Hohloch  benennt schonungslos das ganze Ausmaß der Misere und zeigt Wege aus der Krise auf,44
115,1326276537,2023-11-10,"Linksextremismus: Der Staat schaut weg! Die Landesregierung will gegen rechtsextreme Umtriebe vorgehen, schaut aber bei linksextremen Bestrebungen weg. Der AfD-Abgeordnete Dennis Hohloch zeigt die Fehler der Landesregierung auf und erklärt, warum die AfD alles andere als extremistisch ist.",Linksextremismus  Der Staat schaut weg  Die Landesregierung will gegen rechtsextreme Umtriebe vorgehen  schaut aber bei linksextremen Bestrebungen weg  Der AfDAbgeordnete Dennis Hohloch zeigt die Fehler der Landesregierung auf und erklärt  warum die AfD alles andere als extremistisch ist,38
116,1326276537,2023-11-10,"Forstbetriebe stärken! Endlich gut ausbilden! Die Landesforstbetriebe leiden unter erheblichem Personalmangel. Der Abgeordnete Peter Drenske erläutert, wie und warum wir wieder mehr Nachwuchs für den schönen Beruf des Forstwirtes begeistern müssen. Denn moderne Forstbetriebe sind wichtige Wirtschaftsfaktoren und spielen eine ökologische Schlüsselrolle.",Forstbetriebe stärken  Endlich gut ausbilden  Die Landesforstbetriebe leiden unter erheblichem Personalmangel  Der Abgeordnete Peter Drenske erläutert  wie und warum wir wieder mehr Nachwuchs für den schönen Beruf des Forstwirtes begeistern müssen  Denn moderne Forstbetriebe sind wichtige Wirtschaftsfaktoren und spielen eine ökologische Schlüsselrolle,42
117,1326276537,2023-10-21,Wirtschaftswunder in Brandenburg? Peter Drenske entlarvt das Gerede vom Aufschwung im Land als Märchen.,Wirtschaftswunder in Brandenburg  Peter Drenske entlarvt das Gerede vom Aufschwung im Land als Märchen,14
118,1326276537,2023-10-20,"Wir rennen in die nächste Klagewelle hinein! Ab 2026 gibt es nach dem Willen der rot-schwarz-grünen Regierungskoalition in Brandenburg einen Rechtsanspruch auf Ganztagsbetreuung an den Grundschulen. Die bisherigen Erfahrungen mit dem seit Ewigkeiten sozialdemokratisch geführten Bildungsministerium lassen befürchten, dass dieser Rechtsanspruch gar nicht umgesetzt werden kann. Die Folge könnte eine Klagewelle von Eltern sein.",Wir rennen in die nächste Klagewelle hinein  Ab 2026 gibt es nach dem Willen der rotschwarzgrünen Regierungskoalition in Brandenburg einen Rechtsanspruch auf Ganztagsbetreuung an den Grundschulen  Die bisherigen Erfahrungen mit dem seit Ewigkeiten sozialdemokratisch geführten Bildungsministerium lassen befürchten  dass dieser Rechtsanspruch gar nicht umgesetzt werden kann  Die Folge könnte eine Klagewelle von Eltern sein,54
119,1326276537,2023-10-20,"Gemeinden vor Mehrbelastungen schützen! Marianne Spring-Räumschüssel macht deutlich, wie wichtig der Blick auf Details sind: In unserem Land fehlen noch immer rund 200.000 Grundsteuererklärungen aus. Damit fehlt den Kommunen die Datenbasis, um sich abschließend Gedanken über den sogenannten Grundsteuer-Hebesatz machen zu können. Ob dabei am Ende für die Bürger tatsächlich eine Aufkommensneutralität herauskommt, steht ohnehin in den Sternen. Immer mehr Kommunen kommen durch die Massenzuwanderung an ihre Belastungsgrenze und brauchen Mehreinnahmen.",Gemeinden vor Mehrbelastungen schützen  Marianne SpringRäumschüssel macht deutlich  wie wichtig der Blick auf Details sind  In unserem Land fehlen noch immer rund 200000 Grundsteuererklärungen aus  Damit fehlt den Kommunen die Datenbasis  um sich abschließend Gedanken über den sogenannten GrundsteuerHebesatz machen zu können  Ob dabei am Ende für die Bürger tatsächlich eine Aufkommensneutralität herauskommt  steht ohnehin in den Sternen  Immer mehr Kommunen kommen durch die Massenzuwanderung an ihre Belastungsgrenze und brauchen Mehreinnahmen,71
120,1326276537,2023-10-20,Bildungsnotstand endlich beenden! Der Lehrermangel in Brandenburg hat verschiedene Ursachen: Aus ideologischen Gründen wurden vor dreißig Jahren die pädagogischen Hochschulen zur Ausbildung von Grundschullehrern abgeschafft. Obendrein wird eine immer älter werdende Lehrerschaft nun auch noch durch viel Verwaltungsaufwand und linksgrüne Vorgaben belastet.,Bildungsnotstand endlich beenden  Der Lehrermangel in Brandenburg hat verschiedene Ursachen  Aus ideologischen Gründen wurden vor dreißig Jahren die pädagogischen Hochschulen zur Ausbildung von Grundschullehrern abgeschafft  Obendrein wird eine immer älter werdende Lehrerschaft nun auch noch durch viel Verwaltungsaufwand und linksgrüne Vorgaben belastet,42
121,1326276537,2023-10-17,"Kinder schützen – Frühsexualisierung beenden! Unter Etiketten wie „Sexualpädagogik der Vielfalt“ oder „sexuelle Bildung“ führen Vereine an Kitas und Schulen immer öfter Projekte zur Frühsexualisierung von Kindern durch. Volker Nothing stellt einen Antrag der AfD-Fraktion vor, der diese Entwicklung in Brandenburg verhindern soll.",Kinder schützen – Frühsexualisierung beenden  Unter Etiketten wie „ Sexualpädagogik der Vielfalt “ oder „ sexuelle Bildung “ führen Vereine an Kitas und Schulen immer öfter Projekte zur Frühsexualisierung von Kindern durch  Volker Nothing stellt einen Antrag der AfDFraktion vor  der diese Entwicklung in Brandenburg verhindern soll,47
122,1326276537,2023-10-17,"""Das Motto dieser Regierung: Stau statt Fortschritt!"" | Daniel Münschke Der neue Entwurf für ein Mobilitätsgesetz gleicht einem Flickenteppich statt einer Vision für Brandenburg: Vorgesehen ist unter anderem, dass keine Landesstraßen mehr neu gebaut werden. Der Gesetzentwurf enthält zudem noch weitere brisante Ideen.",Das Motto dieser Regierung  Stau statt Fortschritt    Daniel Münschke Der neue Entwurf für ein Mobilitätsgesetz gleicht einem Flickenteppich statt einer Vision für Brandenburg  Vorgesehen ist unter anderem  dass keine Landesstraßen mehr neu gebaut werden  Der Gesetzentwurf enthält zudem noch weitere brisante Ideen,42
