,url,date,author,text,text_tokenised
235,"https://afdbundestag.de/hilse-bundesregierung-kann-immense-klimaschutzkosten-nicht-beziffern/
",2018-10-17,Hilse,"Bundesregierung kann immense Klimaschutzkosten nicht beziffern Berlin, 17. Oktober 2018. In der Kleinen Anfrage (Drs. 19/3856) hat sich die AfD-Fraktion nach der Höhe der direkten volkswirtschaftlichen Kosten für Deutschland erkundigt, die sich aus den Verpflichtungen zur Treibhausgasreduktion nach der Pariser Klima-Übereinkunft ergeben.","Bundesregierung immense Klimaschutzkosten beziffern Berlin , 17. Oktober 2018. Anfrage ( Drs . 19 / 3856 ) AfD-Fraktion Höhe direkten volkswirtschaftlichen Kosten Deutschland erkundigt , Verpflichtungen Treibhausgasreduktion Pariser Klima-Übereinkunft ergeben ."
236,"https://afdbundestag.de/hilse-bundesregierung-kann-immense-klimaschutzkosten-nicht-beziffern/
",2018-10-17,Hilse,„Die Antwort der Bundesregierung ist enttäuschend aber erwartbar. Die Bundesregierung kennt die immensen Kosten der von ihr eingeleiteten ‚Dekarbonisierung‘ nach der Pariser Klima-Übereinkunft überhaupt nicht. Sie steuert das Land in einen Blindflug mit offenkundig verheerendem Ende.,„ Antwort Bundesregierung enttäuschend erwartbar . Bundesregierung kennt immensen Kosten eingeleiteten ‚ Dekarbonisierung ‘ Pariser Klima-Übereinkunft . steuert Land Blindflug offenkundig verheerendem .
237,"https://afdbundestag.de/hilse-bundesregierung-kann-immense-klimaschutzkosten-nicht-beziffern/
",2018-10-17,Hilse,"Doch auch diese führt die Bundesregierung nicht an, sondern verweist stattdessen auf phantasievolle Studien, wie die OECD Studie von 2017 ‚Investieren in Klimaschutz, investieren in Wachstum‘, welche bis 2050 für alle G20 Staaten ein höheres Wachstum der gesamtwirtschaftlichen Leistung um fünf Prozent verheißt.","führt Bundesregierung , verweist stattdessen phantasievolle Studien , OECD Studie 2017 ‚ Investieren Klimaschutz , investieren Wachstum ‘ , 2050 G20 Staaten höheres Wachstum gesamtwirtschaftlichen Leistung Prozent verheißt ."
238,"https://afdbundestag.de/hilse-bundesregierung-kann-immense-klimaschutzkosten-nicht-beziffern/
",2018-10-17,Hilse,"Diese Studie, obwohl allein von Wunschdenken und realitätsfernen Visionen gespeist, glaubt also an ein zusätzliches potentielles Wachstum durch ‚Klimaschutz‘ von deutlich weniger als 0,2 Prozent im Jahr. Damit läge es knapp um den Faktor 10 unter dem gegenwärtigen Wachstum des deutschen BIP und ist damit statistisch völlig unbedeutend.","Studie , obwohl Wunschdenken realitätsfernen Visionen gespeist , glaubt zusätzliches potentielles Wachstum ‚ Klimaschutz ‘ deutlich 0,2 Prozent . läge knapp Faktor 10 gegenwärtigen Wachstum deutschen BIP statistisch völlig unbedeutend ."
239,"https://afdbundestag.de/marc-bernhard-sie-sorgen-mit-ihrer-vermurksten-energiewende-fuer-blackouts-afd-fraktion/
",2018-10-19,Marc Bernhard,Sie sorgen mit ihrer vermurksten Energiewende für Blackouts! - AfD-Fraktion,sorgen vermurksten Energiewende Blackouts ! - AfD-Fraktion
240,"https://afdbundestag.de/bernhard-keine-benachteiligung-fuer-deutschland/
",2018-10-20,Bernhard,"Tatsächlich soll für Notstromaggregate, die nur für den Katastrophen-fall vorgehalten werden, Luftreinhaltungs-Anforderungen festlegen werden. Selbst der „grüne“ Umweltminister von Baden-Württemberg, Untersteller, rechnet ab 2019 damit, dass in Deutschland wegen der Energiewende öfter mal das Licht ausgehen wird.","Tatsächlich Notstromaggregate , Katastrophen-fall vorgehalten , Luftreinhaltungs-Anforderungen festlegen . „ grüne “ Umweltminister Baden-Württemberg , Untersteller , rechnet 2019 , Deutschland Energiewende öfter mal Licht ausgehen ."
241,"https://afdbundestag.de/bernhard-keine-benachteiligung-fuer-deutschland/
",2018-10-20,Bernhard,"Denn es darf nicht sein, dass die Regierung auf der einen Seite durch die vermurkste Energiewende Blackouts verursacht und auf der anderen Seite ausgerechnet die Menschen bestraft, die genau dagegen Vorsorge treffen. Diese Menschen müssen wir unterstützen und nicht bestrafen! Die AfD-Fraktion lehnt die 44. Bundes-Immissionsschutz-Verordnung ab!“",", Regierung Seite vermurkste Energiewende Blackouts verursacht Seite ausgerechnet Menschen bestraft , genau Vorsorge treffen . Menschen unterstützen bestrafen ! AfD-Fraktion lehnt 44. Bundes-Immissionsschutz-Verordnung ! “"
242,"https://afdbundestag.de/bleck-lehnt-ausbau-von-photovoltaikanlagen-auf-gruenlandflaechen-ab/
",2018-10-23,,"Photovoltaikanlagen. Dadurch sind zahlreiche Tiere und Pflanzen gefährdet, die Deutschlands biologische Vielfalt ebenfalls repräsentieren. Der Ausbau von Photovoltaikanlagen auf Grünlandflächen ist damit ein weiteres Beispiel für die Gefährdung des Umwelt- und Naturschutzes durch den angeblichen Klimaschutz.","Photovoltaikanlagen . zahlreiche Tiere Pflanzen gefährdet , Deutschlands biologische Vielfalt ebenfalls repräsentieren . Ausbau Photovoltaikanlagen Grünlandflächen Gefährdung Umwelt- Naturschutzes angeblichen Klimaschutz ."
243,"https://afdbundestag.de/bleck-lehnt-ausbau-von-photovoltaikanlagen-auf-gruenlandflaechen-ab/
",2018-10-23,,"Ohne Speicher ist sie also nicht grundlastfähig. Die Pläne der Landesregierung, trotzdem bis 2050 ein Viertel der Stromerzeugung durch die Photovoltaik zu decken, ist vor diesem Hintergrund energiepolitischer Irrsinn zulasten der Umwelt und Natur. Unter anderem deshalb lehnt die AfD-Fraktion die ideologisch motivierte Energiewende strikt ab.“","Speicher grundlastfähig . Pläne Landesregierung , 2050 Viertel Stromerzeugung Photovoltaik decken , Hintergrund energiepolitischer Irrsinn zulasten Umwelt Natur . lehnt AfD-Fraktion ideologisch motivierte Energiewende strikt . “"
244,"https://afdbundestag.de/spaniel-staerkung-des-individualverkehrs-statt-oekopopulismus/
",2018-11-08,Spaniel,"Weder gibt es eine vernünftige Lade-Infrastruktur, noch wird es günstige Gebrauchtwagen bei Elektroautos geben, da deren Lebenszyklus spätestens nach acht Jahren am Ende ist. Green-Washing mit Kohlestrommix wird zum Exklusivprodukt für grüne Bessermenschen.","Weder vernünftige Lade-Infrastruktur , günstige Gebrauchtwagen Elektroautos geben , Lebenszyklus spätestens . Green-Washing Kohlestrommix Exklusivprodukt grüne Bessermenschen ."
245,"https://afdbundestag.de/weidel-kramp-karrenbauer-war-immer-stuetze-des-systems-merkel/
",2018-11-08,Weidel,"Merkels Jahre als Kanzlerin waren für Deutschland nicht nur verlorene Jahre, sie haben unserem Land durch die verkorkste Energiewende oder die unverantwortliche Masseneinwanderung schweren Schaden zugefügt.","Merkels Kanzlerin Deutschland verlorene , unserem Land verkorkste Energiewende unverantwortliche Masseneinwanderung schweren Schaden zugefügt ."
246,"https://afdbundestag.de/boehringer-bundeshaushalt-2019-verschwendung-statt-buergerentlastung/
",2018-11-09,Boehringer,"voranzutreiben; - die Energiewende und die damit verbundenen erheblichen Fehlallokationen zu beenden; - den Energie- und Klimafonds aufzulösen und die Titel sachgerecht auf die Einzelpläne aufzuteilen; - die innere Sicherheit kurzfristig wiederherzustellen, auch durch eine bessere sächliche und personelle Ausstattung bei der Bundespolizei und in","voranzutreiben ; - Energiewende verbundenen erheblichen Fehlallokationen beenden ; - Energie- Klimafonds aufzulösen Titel sachgerecht Einzelpläne aufzuteilen ; - innere Sicherheit kurzfristig wiederherzustellen , bessere sächliche personelle Ausstattung Bundespolizei"
247,"https://afdbundestag.de/weidel-spd-verraet-schon-wieder-den-kleinen-mann/
",2018-11-09,Weidel,"SPD verrät schon wieder den kleinen Mann Berlin, 9. November 2018. Umweltministerin Svenja Schulze (SPD) will unter dem Schlagwort CO2-Abgabe eine zusätzliche Steuer auf Benzin und Heizöl einführen. Dazu sagt die Vorsitzende der AfD-Bundestagsfraktion: „Wieder einmal verrät die SPD den kleinen Mann.","SPD verrät Mann Berlin , 9. November 2018. Umweltministerin Svenja Schulze ( SPD ) Schlagwort CO2-Abgabe zusätzliche Steuer Benzin Heizöl einführen . Vorsitzende AfD-Bundestagsfraktion : „ verrät SPD Mann ."
248,"https://afdbundestag.de/der-emissionshandel-bringt-dem-klima-nichts-karsten-hilse-afd-fraktion-im-bundestag/
",2018-11-09,Karsten Hilse,Der Emissionshandel bringt dem Klima nichts! AfD-Fraktion im Bundestag,Emissionshandel bringt Klima ! AfD-Fraktion Bundestag
249,"https://afdbundestag.de/die-deutsche-energiewende-kann-nicht-funktionieren-steffen-kotre-afd-fraktion-im-bundestag/
",2018-11-09,Steffen Kotré,Die deutsche Energiewende kann nicht funktionieren! AfD-Fraktion im Bundestag,deutsche Energiewende funktionieren ! AfD-Fraktion Bundestag
250,"https://afdbundestag.de/hilse-umweltministerin-schulze-eifert-den-gruenen-in-jeder-beziehung-nach/
",2018-11-09,Hilse,"Zum Vorschlag von Umweltministerin Svenja Schulze (SPD), unter dem Vorwand des Klimaschutzes die Sprit- und Heizölpreise massiv zu verteuern, teilt der in Bautzen direkt gewählte Bundestagsabgeordnete und umweltpolitischer Sprecher der AfD-Fraktion im Deutschen Bundestag, Karsten Hilse, mit: „Umweltministerin Svenja Schulze hat offensichtlich vor,","Vorschlag Umweltministerin Svenja Schulze ( SPD ) , Vorwand Klimaschutzes Sprit- Heizölpreise massiv verteuern , teilt Bautzen direkt gewählte Bundestagsabgeordnete umweltpolitischer Sprecher AfD-Fraktion Deutschen Bundestag , Karsten Hilse , : „ Umweltministerin Svenja Schulze offensichtlich ,"
